Number,Title,Author,Genre,SubGenre
105,Talking Straight,"Iacoca, Lee",nonfiction,autobiography
106,"Maugham's Collected Short Stories, Vol 3","Maugham, William S",fiction,classic
107,"Phantom of Manhattan, The","Forsyth, Frederick",fiction,classic
108,Ashenden of The British Agent,"Maugham, William S",fiction,classic
109,Zen & The Art of Motorcycle Maintenance,"Pirsig, Robert",philosophy,autobiography
110,"Great War for Civilization, The","Fisk, Robert",nonfiction,history
111,We the Living,"Rand, Ayn",fiction,novel
112,"Artist and the Mathematician, The","Aczel, Amir",science,mathematics
113,History of Western Philosophy,"Russell, Bertrand",philosophy,philosophy
114,Selected Short Stories,,fiction,classic
115,Rationality & Freedom,"Sen, Amartya",science,economics
116,Clash of Civilizations and Remaking of the World Order,"Huntington, Samuel",nonfiction,history
117,Uncommon Wisdom,"Capra, Fritjof",nonfiction,anthology
118,One,"Bach, Richard",nonfiction,autobiography
119,Karl Marx Biography,,nonfiction,autobiography
120,To Sir With Love,Braithwaite,fiction,classic
121,Half A Life,"Naipaul, V S",fiction,novel
122,"Discovery of India, The","Nehru, Jawaharlal",nonfiction,history
123,Apulki,"Deshpande, P L",nonfiction,misc
124,Unpopular Essays,"Russell, Bertrand",philosophy,philosophy
125,"Deceiver, The","Forsyth, Frederick",fiction,novel
126,Veil: Secret Wars of the CIA,"Woodward, Bob",nonfiction,history
127,Char Shabda,"Deshpande, P L",nonfiction,misc
128,Rosy is My Relative,"Durrell, Gerald",fiction,novel
129,"Moon and Sixpence, The","Maugham, William S",fiction,classic
130,Political Philosophers,,philosophy,politics
131,"Short History of the World, A","Wells, H G",nonfiction,history
132,"Trembling of a Leaf, The","Maugham, William S",fiction,novel
133,Doctor on the Brain,"Gordon, Richard",fiction,novel
134,Simpsons & Their Mathematical Secrets,"Singh, Simon",science,mathematics
135,Pattern Classification,"Duda, Hart",tech,data_science
136,From Beirut to Jerusalem,"Friedman, Thomas",nonfiction,history
137,"Code Book, The","Singh, Simon",science,mathematics
138,"Age of the Warrior, The","Fisk, Robert",nonfiction,history
139,Final Crisis,,fiction,comic
140,"Killing Joke, The",,fiction,comic
141,Flashpoint,,fiction,comic
142,Batman Earth One,,fiction,comic
143,Crisis on Infinite Earths,,fiction,comic
144,"Numbers Behind Numb3rs, The","Devlin, Keith",science,mathematics
145,Superman Earth One - 1,,fiction,comic
146,Superman Earth One - 2,,fiction,comic
147,Justice League: Throne of Atlantis,,fiction,comic
148,Justice League: The Villain's Journey,,fiction,comic
149,"Death of Superman, The",,fiction,comic
150,History of the DC Universe,,fiction,comic
151,Batman: The Long Halloween,,fiction,comic
152,"Life in Letters, A","Steinbeck, John",nonfiction,autobiography
153,"Information, The","Gleick, James",science,mathematics
154,"Journal of Economics, vol 106 No 3",,science,economics
155,Elements of Information Theory,"Thomas, Joy",tech,signal_processing
156,Power Electronics - Rashid,"Rashid, Muhammad",tech,computer_science
157,Power Electronics - Mohan,"Mohan, Ned",tech,computer_science
158,Neural Networks,"Haykin, Simon",tech,data_science
159,"Grapes of Wrath, The","Steinbeck, John",fiction,classic
160,Vyakti ani Valli,"Deshpande, P L",nonfiction,misc
161,Statistical Learning Theory,"Vapnik, Vladimir",tech,data_science
162,Empire of the Mughal - The Tainted Throne,"Rutherford, Alex",nonfiction,history
163,Empire of the Mughal - Brothers at War,"Rutherford, Alex",nonfiction,history
164,Empire of the Mughal - Ruler of the World,"Rutherford, Alex",nonfiction,history
165,Empire of the Mughal - The Serpent's Tooth,"Rutherford, Alex",nonfiction,history
166,Empire of the Mughal - Raiders from the North,"Rutherford, Alex",nonfiction,history
167,Mossad,"Baz-Zohar, Michael",nonfiction,history
168,Jim Corbett Omnibus,"Corbett, Jim",nonfiction,history
169,20000 Leagues Under the Sea,"Verne, Jules",fiction,novel
170,Batatyachi Chal,Deshpande P L,fiction,novel
171,Hafasavnuk,Deshpande P L,fiction,novel
172,Urlasurla,Deshpande P L,fiction,novel
173,Pointers in C,"Kanetkar, Yashwant",tech,computer_science
174,"Cathedral and the Bazaar, The","Raymond, Eric",tech,computer_science
175,Design with OpAmps,"Franco, Sergio",tech,computer_science
176,Think Complexity,"Downey, Allen",tech,data_science
177,"Devil's Advocate, The","West, Morris",fiction,novel
178,Ayn Rand Answers,"Rand, Ayn",philosophy,objectivism
179,Philosophy: Who Needs It,"Rand, Ayn",philosophy,objectivism
180,"World's Great Thinkers, The",,science,physics
181,Data Analysis with Open Source Tools,"Janert, Phillip",tech,data_science
182,Broca's Brain,"Sagan, Carl",science,physics
183,Men of Mathematics,"Bell, E T",science,mathematics
184,Oxford book of Modern Science Writing,"Dawkins, Richard",science,science
185,"Justice, Judiciary and Democracy","Ranjan, Sudhanshu",nonfiction,legal
186,"Arthashastra, The",Kautiyla,philosophy,philosophy
187,We the People,Palkhivala,philosophy,philosophy
188,We the Nation,Palkhivala,philosophy,philosophy
189,"Courtroom Genius, The",Sorabjee,nonfiction,autobiography
190,Dongri to Dubai,"Zaidi, Hussain",nonfiction,history
191,"History of England, Foundation","Ackroyd, Peter",nonfiction,history
192,City of Djinns,"Dalrymple, William",nonfiction,history
193,India's Legal System,Nariman,nonfiction,legal
194,More Tears to Cry,"Sassoon, Jean",fiction,novel
